periode_seleksi_casn,nama_jabatan,kualifikasi_tingkat_pendidikan,kualifikasi_program_studi_jurusan,alokasi_kebutuhan,jumlah_pelamar,rasio_keketatan,passing_grade_persen,tingkat_keketatan,eselon_1_penempatan,eselon_2_penempatan,eselon_3_penempatan,lokasi,rentang_penghasilan
2024,Analis Kesehatan Ahli Pertama,S1,KESEHATAN MASYARAKAT,3,573,1:191,0.52,sedang,BADAN KEPEGAWAIAN NEGARA,DEPUTI BIDANG MUTASI PEGAWAI,-,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
2024,Pranata Komputer Ahli Pertama,S1,"ILMU KOMPUTER
SISTEM INFORMASI",4,1496,1:374,0.27,tinggi,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,KANTOR WILAYAH DJP JAKARTA SELATAN,"JAKARTA SELATAN, DKI JAKARTA",3398120-8600528
2024,Penyuluh Sosial Ahli Pertama,S1,ILMU KESEJAHTERAAN SOSIAL,3,189,1:63,1.59,rendah,KEMENTERIAN KESEHATAN,DIREKTORAT JENDERAL PELAYANAN KESEHATAN,DIREKTORAT PELAYANAN KESEHATAN RUJUKAN,"JAKARTA SELATAN, DKI JAKARTA",3398120-8600528
2024,Perencana Ahli Pertama,S1,"STATISTIKA
MATEMATIKA
EKONOMI PEMBANGUNAN",2,486,1:243,0.41,sedang,BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK PROVINSI JAWA TENGAH,-,"KOTA SEMARANG, JAWA TENGAH",3398120-8600528
2024,Pranata Komputer Ahli Pertama,S1,"TEKNIK INFORMATIKA
SISTEM INFORMASI",4,1852,1:463,0.22,tinggi,BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK PROVINSI JAWA TENGAH,-,"KOTA SEMARANG, JAWA TENGAH",3398120-8600528
2024,Arsiparis Terampil,DIII,MANAJEMEN,1,63,1:63,1.59,rendah,BADAN PUSAT STATISTIK,SEKRETARIAT UTAMA,BIRO HUMAS DAN HUKUM,"JAKARTA PUSAT, DKI JAKARTA",2908320-6984006
2024,Pengelola Keuangan,DIII,AKUNTANSI,2,376,1:188,0.53,sedang,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL BEA DAN CUKAI,KANTOR WILAYAH DJBC JAWA BARAT,"KOTA BANDUNG, JAWA BARAT",2918320-6994006
2024,Perencana Ahli Pertama,S1,"STATISTIKA
MATEMATIKA
EKONOMI PEMBANGUNAN",5,885,1:177,0.56,sedang,KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,DIREKTORAT JENDERAL INFORMASI DAN KOMUNIKASI PUBLIK,DIREKTORAT KOMUNIKASI DAN MEDIA MASSA,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
2024,Perawat Terampil,DIII,KEPERAWATAN,1,240,1:240,0.42,sedang,BADAN PUSAT STATISTIK,PUSAT PENDIDIKAN DAN PELATIHAN,-,"JAKARTA SELATAN, DKI JAKARTA",2918320-6994006
2024,Perawat Terampil,DIII,KEPERAWATAN,4,708,1:177,0.56,sedang,KEMENTERIAN PERHUBUNGAN,DIREKTORAT JENDERAL PERHUBUNGAN DARAT,DIREKTORAT LALU LINTAS DAN ANGKUTAN JALAN,"JAKARTA PUSAT, DKI JAKARTA",2918320-6994006
2024,Analis SDM Ahli Pertama,S1,"PSIKOLOGI
MANAJEMEN",2,860,1:430,0.23,tinggi,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI",DIREKTORAT JENDERAL PENDIDIKAN TINGGI,DIREKTORAT PEMBELAJARAN DAN KEMAHASISWAAN,"JAKARTA SELATAN, DKI JAKARTA",3398120-8600528
2024,Analis Hukum Ahli Pertama,S1,HUKUM,3,1875,1:625,0.16,sangat_tinggi,KEMENTERIAN SOSIAL,DIREKTORAT JENDERAL REHABILITASI SOSIAL,-,"JAKARTA SELATAN, DKI JAKARTA",3398120-8600528
2024,Arsiparis Terampil,DIII,"MANAJEMEN
SISTEM INFORMASI
TEKNOLOGI INFORMASI",1,93,1:93,1.08,rendah,KEMENTERIAN PERHUBUNGAN,DIREKTORAT JENDERAL PERHUBUNGAN DARAT,DIREKTORAT LALU LINTAS DAN ANGKUTAN JALAN,"JAKARTA PUSAT, DKI JAKARTA",2908320-6984006
2024,Analis Kesehatan Ahli Pertama,S1,KESEHATAN MASYARAKAT,3,528,1:176,0.57,sedang,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL BEA DAN CUKAI,KANTOR WILAYAH DJBC JAWA BARAT,"KOTA BANDUNG, JAWA BARAT",3398120-8600528
2024,Statistisi Ahli Pertama,S1,"MATEMATIKA
STATISTIKA",1,104,1:104,0.96,sedang,KEMENTERIAN AGAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT ISLAM,DIREKTORAT URUSAN AGAMA ISLAM DAN PEMBINAAN SYARIAH,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
2024,Analis Hukum Ahli Pertama,S1,HUKUM,4,2580,1:645,0.16,sangat_tinggi,BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK PROVINSI JAWA TENGAH,-,"KOTA SEMARANG, JAWA TENGAH",3398120-8600528
2024,Analis Kebijakan Ahli Muda,S1,"ADMINISTRASI NEGARA
ADMINISTRASI PUBLIK
ILMU PEMERINTAHAN",5,1765,1:353,0.28,tinggi,BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK PROVINSI LAMPUNG,-,"KOTA BANDAR LAMPUNG, PROVINSI LAMPUNG",3500000-9000000
2024,Auditor Ahli Muda,S1,AKUNTANSI,3,1557,1:519,0.19,sangat_tinggi,BADAN PUSAT STATISTIK,PUSAT PENDIDIKAN DAN PELATIHAN,-,"JAKARTA SELATAN, DKI JAKARTA",3500000-9000000
2024,Analis Kebijakan Ahli Muda,S1,ADMINISTRASI NEGARA,2,702,1:351,0.28,tinggi,KEMENTERIAN SOSIAL,DIREKTORAT JENDERAL REHABILITASI SOSIAL,-,"JAKARTA SELATAN, DKI JAKARTA",3500000-9000000
2024,Statistisi Ahli Pertama,S1,"STATISTIKA
MATEMATIKA",1,184,1:184,0.54,sedang,BADAN PUSAT STATISTIK,PUSAT PENDIDIKAN DAN PELATIHAN,-,"JAKARTA SELATAN, DKI JAKARTA",3398120-8600528
2024,Statistisi Ahli Pertama,S1,"MATEMATIKA
STATISTIKA",5,995,1:199,0.5,sedang,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL BEA DAN CUKAI,KANTOR WILAYAH DJBC JAWA BARAT,"KOTA BANDUNG, JAWA BARAT",3398120-8600528
2024,Statistisi Ahli Pertama,S1,"STATISTIKA
MATEMATIKA",1,110,1:110,0.91,sedang,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL BEA DAN CUKAI,KANTOR WILAYAH DJBC JAWA BARAT,"KOTA BANDUNG, JAWA BARAT",3398120-8600528
2024,Pranata Hubungan Masyarakat Ahli Pertama,S1,"ILMU KOMUNIKASI
DESAIN KOMUNIKASI VISUAL
HUBUNGAN MASYARAKAT",5,1835,1:367,0.27,tinggi,BADAN PUSAT STATISTIK,PUSAT PENDIDIKAN DAN PELATIHAN,-,"JAKARTA SELATAN, DKI JAKARTA",3398120-8600528
2024,Perawat Terampil,DIII,KEPERAWATAN,4,1040,1:260,0.38,sedang,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI",DIREKTORAT JENDERAL PENDIDIKAN TINGGI,DIREKTORAT PEMBELAJARAN DAN KEMAHASISWAAN,"JAKARTA SELATAN, DKI JAKARTA",2918320-6994006
2024,Analis Kesehatan Ahli Pertama,S1,KESEHATAN MASYARAKAT,4,900,1:225,0.44,sedang,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL BEA DAN CUKAI,KANTOR WILAYAH DJBC JAWA BARAT,"KOTA BANDUNG, JAWA BARAT",3398120-8600528
2024,Perawat Terampil,DIII,KEPERAWATAN,4,1028,1:257,0.39,sedang,KEMENTERIAN PERHUBUNGAN,DIREKTORAT JENDERAL PERHUBUNGAN DARAT,DIREKTORAT LALU LINTAS DAN ANGKUTAN JALAN,"JAKARTA PUSAT, DKI JAKARTA",2918320-6994006
2024,Statistisi Ahli Pertama,S1,"STATISTIKA
MATEMATIKA",1,241,1:241,0.41,sedang,KEMENTERIAN PERHUBUNGAN,DIREKTORAT JENDERAL PERHUBUNGAN DARAT,DIREKTORAT LALU LINTAS DAN ANGKUTAN JALAN,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
2024,Auditor Ahli Muda,S1,AKUNTANSI,1,850,1:850,0.12,sangat_tinggi,BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK PROVINSI LAMPUNG,-,"KOTA BANDAR LAMPUNG, PROVINSI LAMPUNG",3500000-9000000
2024,Analis Anggaran Ahli Pertama,S1,"MANAJEMEN
AKUNTANSI
EKONOMI PEMBANGUNAN",4,1668,1:417,0.24,tinggi,BADAN PUSAT STATISTIK,BADAN PUSAT STATISTIK PROVINSI LAMPUNG,BADAN PUSAT STATISTIK KOTA BANDAR LAMPUNG,"KOTA BANDAR LAMPUNG, PROVINSI LAMPUNG",3398120-8600528
2024,Analis Kesehatan Ahli Pertama,S1,KESEHATAN MASYARAKAT,5,660,1:132,0.76,sedang,KEMENTERIAN PERHUBUNGAN,DIREKTORAT JENDERAL PERHUBUNGAN DARAT,DIREKTORAT LALU LINTAS DAN ANGKUTAN JALAN,"JAKARTA PUSAT, DKI JAKARTA",3398120-8600528
2024,Perawat Ahli Pertama,S1,KEPERAWATAN,1,455,1:455,0.22,tinggi,KEMENTERIAN SOSIAL,DIREKTORAT JENDERAL REHABILITASI SOSIAL,-,"JAKARTA SELATAN, DKI JAKARTA",3398120-8600528
