judul_jabatan,instansi,unit_organisasi,kualifikasi_pendidikan,persyaratan_kompetensi,tugas_pokok,fungsi_jabatan,jumlah_formasi,lokasi_penempatan,kode_formasi,tautan_detail,keywords
Programmer Ahli Muda,Kementerian Hukum dan HAM,Direktorat Jenderal Pemasyarakatan,S1 Teknik Informatika/Ilmu Komputer/Sistem Informasi,"Python, Java, PHP, Database (MySQL/PostgreSQL), Git, Agile/Scrum","Mengembangkan, maintain, dan optimize sistem informasi pemerintah, melakukan troubleshooting, dan dokumentasi sistem.",Fungsi Programmer di bidang pemasyarakatan,4,Medan,FORM-2025-0001,https://sscasn.bkn.go.id/formasi/FORM-2025-0001,
Analis Kebijakan Terampil,Kementerian Komunikasi dan Informatika,Direktorat Jenderal Informasi dan Komunikasi Publik,S1/S2 Administrasi Publik/Ilmu Pemerintahan/Kebijakan Publik,"Analisis Kebijakan, Riset, Komunikasi, Microsoft Office, Manajemen Proyek","Melakukan analisis dan evaluasi kebijakan publik, menyusun rekomendasi kebijakan, dan menyajikan hasil analisis kepada stakeholder terkait.",Fungsi Analis Kebijakan di bidang publik,3,Denpasar,FORM-2025-0002,https://sscasn.bkn.go.id/formasi/FORM-2025-0002,
Network Administrator Ahli Muda,Badan Pusat Statistik,Direktorat Statistik Kependudukan dan Ketenagakerjaan,S1 Teknik Informatika/Teknik Komputer,"Cisco, Network Security, Linux/Windows Server, Firewall, Troubleshooting","Mengelola infrastruktur jaringan, memastikan keamanan jaringan, troubleshooting, dan dokumentasi jaringan.",Fungsi Network Administrator di bidang ketenagakerjaan,10,Palembang,FORM-2025-0003,https://sscasn.bkn.go.id/formasi/FORM-2025-0003,
Auditor Ahli Pertama,Badan Kepegawaian Negara,Deputi Bidang Pembinaan Pegawai,S1 Akuntansi/Manajemen Keuangan,"Audit Internal, Risk Assessment, Financial Analysis, Compliance, Microsoft Excel","Melakukan audit internal, mengevaluasi sistem pengendalian internal, dan menyusun laporan audit serta rekomendasi perbaikan.",Fungsi Auditor di bidang pegawai,3,Semarang,FORM-2025-0004,https://sscasn.bkn.go.id/formasi/FORM-2025-0004,
Analis SDM Ahli Muda,Kementerian Keuangan,Direktorat Jenderal Perbendaharaan,S1 Psikologi/Manajemen SDM,"Rekrutmen & Seleksi, Assessment, Pengembangan SDM, HRIS, Komunikasi","Mengelola proses rekrutmen, mengembangkan sistem penilaian kinerja, dan merencanakan program pengembangan pegawai.",Fungsi Analis SDM di bidang perbendaharaan,3,Semarang,FORM-2025-0005,https://sscasn.bkn.go.id/formasi/FORM-2025-0005,
Auditor Terampil,Kementerian Komunikasi dan Informatika,Direktorat e-Government,S1 Akuntansi/Manajemen Keuangan,"Audit Internal, Risk Assessment, Financial Analysis, Compliance, Microsoft Excel","Melakukan audit internal, mengevaluasi sistem pengendalian internal, dan menyusun laporan audit serta rekomendasi perbaikan.",Fungsi Auditor di bidang e-government,3,Jakarta,FORM-2025-0006,https://sscasn.bkn.go.id/formasi/FORM-2025-0006,
Analis SDM Ahli Pertama,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Balai Pengembangan Talenta Indonesia,S1 Psikologi/Manajemen SDM,"Rekrutmen & Seleksi, Assessment, Pengembangan SDM, HRIS, Komunikasi","Mengelola proses rekrutmen, mengembangkan sistem penilaian kinerja, dan merencanakan program pengembangan pegawai.",Fungsi Analis SDM di bidang indonesia,4,Surabaya,FORM-2025-0007,https://sscasn.bkn.go.id/formasi/FORM-2025-0007,
Data Scientist Ahli Pertama,Kementerian Kesehatan,Direktorat Jenderal Pelayanan Kesehatan,S1/S2 Statistika/Matematika/Ilmu Komputer/Data Science,"Python, R, Machine Learning, Data Visualization, SQL, Big Data","Menganalisis data besar, membangun model prediktif, visualisasi data, dan memberikan insights untuk pengambilan keputusan.",Fungsi Data Scientist di bidang kesehatan,1,Palembang,FORM-2025-0008,https://sscasn.bkn.go.id/formasi/FORM-2025-0008,
Public Relations Officer Terampil,Kementerian BUMN,Deputi Bidang Usaha Infrastruktur dan Kawasan,S1 Ilmu Komunikasi/Public Relations,"Media Relations, Press Release Writing, Social Media Management, Event Management, Komunikasi","Mengelola komunikasi publik instansi, membuat siaran pers, mengelola media sosial, dan koordinasi event.",Fungsi Public Relations Officer di bidang kawasan,10,Denpasar,FORM-2025-0009,https://sscasn.bkn.go.id/formasi/FORM-2025-0009,
Analis Kebijakan Terampil,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pusat Penelitian dan Pengembangan,S1/S2 Administrasi Publik/Ilmu Pemerintahan/Kebijakan Publik,"Analisis Kebijakan, Riset, Komunikasi, Microsoft Office, Manajemen Proyek","Melakukan analisis dan evaluasi kebijakan publik, menyusun rekomendasi kebijakan, dan menyajikan hasil analisis kepada stakeholder terkait.",Fungsi Analis Kebijakan di bidang pengembangan,10,Makassar,FORM-2025-0010,https://sscasn.bkn.go.id/formasi/FORM-2025-0010,
Programmer Ahli Pertama,Kementerian Dalam Negeri,Direktorat Jenderal Politik dan Pemerintahan Umum,S1 Teknik Informatika/Ilmu Komputer/Sistem Informasi,"Python, Java, PHP, Database (MySQL/PostgreSQL), Git, Agile/Scrum","Mengembangkan, maintain, dan optimize sistem informasi pemerintah, melakukan troubleshooting, dan dokumentasi sistem.",Fungsi Programmer di bidang umum,1,Medan,FORM-2025-0011,https://sscasn.bkn.go.id/formasi/FORM-2025-0011,
Perancang Peraturan Perundang-undangan Ahli Pertama,Kementerian Kesehatan,Badan Penelitian dan Pengembangan Kesehatan,S1/S2 Ilmu Hukum,"Legal Drafting, Penelitian Hukum, Analisis Regulasi, Komunikasi, Microsoft Office","Merancang naskah peraturan perundang-undangan, melakukan harmonisasi peraturan, dan memberikan legal advice.",Fungsi Perancang Peraturan Perundang-undangan di bidang kesehatan,5,Bandung,FORM-2025-0012,https://sscasn.bkn.go.id/formasi/FORM-2025-0012,
